age,nax
0,0.09000000357627869
1,1.5
5,2.5
10,3.1429998874664307
15,2.7239999771118164
20,2.5199999809265137
25,2.4809999465942383
30,2.6010000705718994
35,2.7009999752044678
40,2.6630001068115234
45,2.697999954223633
50,2.6760001182556152
55,2.6449999809265137
60,2.624000072479248
65,2.61899995803833
70,2.5929999351501465
75,2.5179998874664307
80,2.4230000972747803
85,4.320000171661377
